,point,latitude,longitude,altitude,opening_type,building_type,3d_point,closest_detected,distance_to_ground_truth,nearest_latitude,nearest_longitude,nearest_altitude
81,POINT (89986.28856131274 471620.0888975014),52.228815903963785,4.435595947288225,4.45,2nd floor window,k3,"[89986.28856131274, 471620.0888975014, 4.45]","[89986.18218618773, 471622.14958076953, 4.194698608922961]",2.0791608882017987,52.22883441037734,4.435593994776704,4.194698608922961
82,POINT (89986.00109547672 471625.6111113122),52.22886549712053,4.4355906797948155,1.93,1st floor window,k3,"[89986.00109547672, 471625.61111131223, 1.93]","[89986.08392087794, 471624.03163379704, 1.709816789801759]",1.596900095223357,52.228851312432084,4.435592195252982,1.709816789801759
83,POINT (89986.00109547672 471625.6111113122),52.22886549712053,4.4355906797948155,4.45,2nd floor window,k3,"[89986.00109547672, 471625.61111131223, 4.45]","[89985.87849126395, 471627.9477646087, 3.912010035106066]",2.400919328777204,52.228886481708685,4.435588436770795,3.912010035106066
84,POINT (89985.76024742675 471630.154731622),52.22890630134569,4.435586282462425,1.93,1st floor window,k3,"[89985.76024742675, 471630.154731622, 1.93]","[89985.70425471681, 471631.1998107674, 1.8142974586624838]",1.052954263811533,52.228915686664585,4.435585262319067,1.8142974586624838
86,POINT (89985.45809652848 471635.8887595139),52.228957796301145,4.435580759354739,1.93,1st floor window,k3,"[89985.45809652848, 471635.88875951385, 1.93]","[89985.39327403107, 471637.1396441132, 1.4756632680781827]",1.3324173906921521,52.22896903011191,4.435579570463319,1.4756632680781827
88,POINT (90079.01818343096 471640.7711303871),52.22901269749532,4.436949089109944,1.93,1st floor window,k3,"[90079.01818343096, 471640.7711303871, 1.93]","[90078.94024165082, 471642.24903256947, 1.5603468496269168]",1.5254223131150306,52.229025969939,4.436947665028004,1.5603468496269168
89,POINT (90079.01818343096 471640.7711303871),52.22901269749532,4.436949089109944,4.45,2nd floor window,k3,"[90079.01818343096, 471640.7711303871, 4.45]","[90078.94098255396, 471642.2349838414, 4.079504813953818]",1.5119833312764257,52.22902584377304,4.436947678565124,4.079504813953818
90,POINT (90079.32516383554 471634.9813203625),52.228960701738,4.436954692019697,1.93,1st floor window,k3,"[90079.32516383554, 471634.98132036254, 1.93]","[90079.36033570192, 471634.32153270865, 1.4697806035541199]",0.8052072411939284,52.22895477649524,4.436955333279736,1.4697806035541199
92,POINT (90079.56390073118 471630.4375892265),52.22891989621475,4.436959057228397,1.93,1st floor window,k3,"[90079.56390073118, 471630.43758922647, 1.93]","[90079.59182205968, 471629.89832067525, 0.9249804498544678]",1.1409007262221853,52.228915053200076,4.43695956926519,0.9249804498544678
93,POINT (90079.56390073118 471630.4375892265),52.22891989621475,4.436959057228397,4.45,2nd floor window,k3,"[90079.56390073118, 471630.43758922647, 4.45]","[90079.61483958396, 471629.4537636098, 4.551606274828725]",0.9903693481690228,52.22891106076184,4.4369599913731985,4.551606274828725
