neighborhood_name,safety_index,crime_index,nuisance_index,perceived_safety_index,hic_subindex,hvc_subindex,nuisance_by_people_subindex,deterioration_subindex,risk_perception_subindex,feelings_of_unsafety_subindex,avoidance_subindex,burglary_index
Osdorp-Midden,113.91,97.94,118.87,124.93,118.45,77.42,126.04,111.71,107.3,129.99,137.5,72.34
Geuzenveld/Spieringhorn,112.36,100.66,102.64,133.79,99.14,102.19,96.87,108.4,108.68,146.31,146.36,41.54
Dapperbuurt,111.27,102.76,130.38,100.68,119.07,86.46,161.98,98.78,109.04,106.33,86.67,40.42
Brt 4 O/N-5 Z,109.12,91.56,104.43,131.36,114,69.12,105.23,103.63,104.57,138.67,150.84,61.36
Landlust/Sloterdijk,107.58,95.15,129.33,98.26,109.6,80.7,132.33,126.32,101.42,97.66,95.72,63.94
Waterlandpleinbuurt,107.56,96.34,97.83,128.51,80.21,112.46,90.48,105.19,108.19,145.12,132.22,78.96
Holendrecht/Reigersbos/N,106.98,79.92,104.72,136.29,95.93,63.91,95.42,114.02,109.24,148.75,150.89,46.4
Osdorp-Oost,105.81,88.69,102.86,125.88,99.86,77.51,108.64,97.09,102.67,122.04,152.92,96.4
Buikslotermeer,103.85,75.11,107.63,128.8,72.36,77.86,109.26,106.01,100.55,118.2,167.65,34.6
Slotermeer-Noordoost,103.74,90.58,110.46,110.17,94.43,86.73,107.17,113.75,106.25,104.71,119.54,69.13
Westlandgracht,102.49,95.89,110.03,101.53,71.36,120.43,122.05,98.01,107.31,96.09,101.19,43.93
IJplein/Vogelbuurt,102.18,88.56,117.02,100.96,106.25,70.88,115.25,118.78,97.95,101.76,103.17,55.59
Overtoomse Veld,102.08,84.44,107.7,114.1,99.39,69.48,111.01,104.39,97.01,121.13,124.14,36.8
Indische Buurt Oost/IJeiland,101.04,72.26,112.45,118.41,59.27,85.25,124.4,100.5,105.24,119.08,130.91,48.66
Weesperbuurt/Plantage,99.54,85.55,129.77,83.3,65.18,105.91,153.98,105.55,106.37,72.57,70.95,72.72
Slotervaart Zuid,98.88,89.73,99.48,107.43,95.64,83.81,102.09,96.86,93.21,122.08,106.99,53.65
Volewijck,97.59,82.64,111.34,98.79,98.41,66.87,120.67,102.02,91.59,96.15,108.64,111.08
Haarlemmerbuurt,96.51,55.87,140.56,93.11,55.93,55.81,167.5,113.62,106.74,84.96,87.63,60.79
